trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'a': 0.002, 'e': 0.4399999999999995}",25,16,-7.29327557914333,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.002, 'e': 0.4349999999999995}",35,23,8.277350053777143,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.002, 'e': 0.4299999999999995}",25,4,-48.1794465170517,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 1}",1
115,False,"{'a': 0.002, 'e': 0.4249999999999995}",30,7,15.115745773593872,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.002, 'e': 0.4199999999999995}",20,0,-37.7592726879975,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
117,False,"{'a': 0.002, 'e': 0.4149999999999995}",35,18,-66.16311255474393,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 2}",1
118,False,"{'a': 0.002, 'e': 0.4099999999999995}",25,11,5.233504785037309,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.002, 'e': 0.40499999999999947}",20,0,-16.665997479814553,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
120,False,"{'a': 0.002, 'e': 0.39999999999999947}",30,4,-35.03564650867872,"{0: 19, 1: 3, 2: 3, 3: 1, 4: 0}",1
121,False,"{'a': 0.002, 'e': 0.39499999999999946}",20,5,-5.969388870945571,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.002, 'e': 0.38999999999999946}",20,9,16.378919536949248,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.002, 'e': 0.38499999999999945}",20,0,-19.62782280261878,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
124,False,"{'a': 0.002, 'e': 0.37999999999999945}",25,13,-2.0532887171054117,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.002, 'e': 0.37499999999999944}",20,5,-25.77003362922246,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.002, 'e': 0.36999999999999944}",25,7,-31.188470808419062,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
127,False,"{'a': 0.002, 'e': 0.36499999999999944}",20,8,-4.202668379895835,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.002, 'e': 0.35999999999999943}",20,12,17.54234077009775,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.002, 'e': 0.3549999999999994}",25,0,-25.348092694651925,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
130,False,"{'a': 0.002, 'e': 0.3499999999999994}",25,19,9.17835510381586,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.002, 'e': 0.3449999999999994}",25,3,24.675698942658613,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.002, 'e': 0.3399999999999994}",20,2,-51.58738503741971,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
